,DummyRegressor,Ridge,SVR,RandomForestRegressor,Random Forest_rfe
fit_time,0.048 (+/- 0.002),0.058 (+/- 0.010),3.242 (+/- 0.067),4.694 (+/- 0.044),17.580 (+/- 0.233)
score_time,0.018 (+/- 0.001),0.024 (+/- 0.005),0.899 (+/- 0.014),0.068 (+/- 0.001),0.070 (+/- 0.004)
test_neg_mean_squared_error,-1.696 (+/- 0.095),-1.095 (+/- 0.093),-0.503 (+/- 0.018),-0.402 (+/- 0.030),-0.404 (+/- 0.030)
train_neg_mean_squared_error,-1.696 (+/- 0.004),-1.074 (+/- 0.050),-0.427 (+/- 0.013),-0.057 (+/- 0.001),-0.057 (+/- 0.001)
test_neg_root_mean_squared_error,-1.302 (+/- 0.036),-1.046 (+/- 0.045),-0.709 (+/- 0.013),-0.634 (+/- 0.023),-0.635 (+/- 0.024)
train_neg_root_mean_squared_error,-1.302 (+/- 0.002),-1.036 (+/- 0.024),-0.654 (+/- 0.010),-0.239 (+/- 0.003),-0.239 (+/- 0.003)
test_neg_mean_absolute_error,-1.115 (+/- 0.028),-0.807 (+/- 0.024),-0.532 (+/- 0.009),-0.457 (+/- 0.015),-0.458 (+/- 0.015)
train_neg_mean_absolute_error,-1.115 (+/- 0.001),-0.803 (+/- 0.022),-0.474 (+/- 0.004),-0.170 (+/- 0.001),-0.170 (+/- 0.001)
test_r2,-1.226 (+/- 0.089),-0.439 (+/- 0.137),0.339 (+/- 0.019),0.472 (+/- 0.027),0.470 (+/- 0.029)
train_r2,-1.224 (+/- 0.013),-0.408 (+/- 0.066),0.440 (+/- 0.016),0.925 (+/- 0.002),0.925 (+/- 0.002)
